model,fold,n_samples,n_ati,auc,log_loss
XGBoost,0,86,40,0.842391304347826,0.5132776578136661
XGBoost,1,85,40,0.6377777777777778,0.798936125143258
XGBoost,2,85,40,0.7572222222222222,0.6193627603748738
XGBoost,3,85,40,0.7638888888888888,0.6015381849277716
XGBoost,4,85,40,0.7672222222222222,0.6177078913854575
Lasso LR,0,86,40,0.7510869565217392,0.5932456051261912
Lasso LR,1,85,40,0.6516666666666666,0.69510484122713
Lasso LR,2,85,40,0.7083333333333334,0.6714785534902895
Lasso LR,3,85,40,0.668888888888889,0.6871107675702737
Lasso LR,4,85,40,0.7738888888888888,0.6010778210464962
